Year,Area_Harvested_ha,CH4_Emissions_Gg,CO2e_Emissions_Gg,CO2e_Emissions_Mt
1961,6120000.0000,938.8080,26286.6240,26.2866
1962,6540000.0000,1003.2360,28090.6080,28.0906
1963,6500000.0000,997.1000,27918.8000,27.9188
1964,6310000.0000,967.9540,27102.7120,27.1027
1965,6270000.0000,961.8180,26930.9040,26.9309
1966,7353000.0000,1127.9502,31582.6056,31.5826
1967,6400000.0000,981.7600,27489.2800,27.4893
1968,6940000.0000,1064.5960,29808.6880,29.8087
1969,7259000.0000,1113.5306,31178.8568,31.1789
1970,6854000.0000,1051.4036,29439.3008,29.4393
1971,7096000.0000,1088.5264,30478.7392,30.4787
1972,6780000.0000,1040.0520,29121.4560,29.1215
1973,7743000.0000,1187.7762,33257.7336,33.2577
1974,7333000.0000,1124.8822,31496.7016,31.4967
1975,8357000.0000,1281.9638,35894.9864,35.8950
1976,8167000.0000,1252.8178,35078.8984,35.0789
1977,8750000.0000,1342.2500,37583.0000,37.5830
1978,8935000.0000,1370.6290,38377.6120,38.3776
1979,8654000.0000,1327.5236,37170.6608,37.1707
1980,9200080.0000,1411.2923,39516.1836,39.5162
1981,9105026.0000,1396.7110,39107.9077,39.1079
1982,8940017.0000,1371.3986,38399.1610,38.3992
1983,9606013.0000,1473.5624,41259.7470,41.2597
1984,9629710.0000,1477.1975,41361.5304,41.3615
1985,9833074.0000,1508.3936,42235.0194,42.2350
1986,9194021.0000,1410.3628,39490.1590,39.4902
1987,9147076.0000,1403.1615,39288.5208,39.2885
1988,9905932.0000,1519.5700,42547.9591,42.5480
1989,9879040.0000,1515.4447,42432.4526,42.4325
1990,8791885.0000,1348.6752,37762.9045,37.7629
1991,8935000.0000,1370.6290,38377.6120,38.3776
1992,9213000.0000,1413.2742,39571.6776,39.5717
1993,8648000.0000,1326.6032,37144.8896,37.1449
1994,8777000.0000,1346.3918,37698.9704,37.6990
1995,8848000.0000,1357.2832,38003.9296,38.0039
1996,9197000.0000,1410.8198,39502.9544,39.5030
1997,9795000.0000,1502.5530,42071.4840,42.0715
1998,9626000.0000,1476.6284,41345.5952,41.3456
1999,9774000.0000,1499.3316,41981.2848,41.9813
2000,9715160.0000,1490.3055,41728.5552,41.7286
2001,10180000.0000,1561.6120,43725.1360,43.7251
2002,9472800.0000,1453.1275,40687.5706,40.6876
2003,10192160.0000,1563.4773,43777.3656,43.7774
2004,10085280.0000,1547.0820,43318.2947,43.3183
2005,10042080.0000,1540.4551,43132.7420,43.1327
2006,10139520.0000,1555.4024,43551.2663,43.5513
2007,10227840.0000,1568.9507,43930.6184,43.9306
2008,10747785.0000,1648.7102,46163.8861,46.1639
2009,10740268.0000,1647.5571,46131.5991,46.1316
2010,11932298.0000,1830.4145,51251.6064,51.2516
2011,11649478.0000,1787.0299,50036.8379,50.0368
2012,12278889.0000,1883.5816,52740.2840,52.7403
2013,11855873.0000,1818.6909,50923.3457,50.9233
2014,11702085.0000,1795.0998,50262.7955,50.2628
2015,10160728.0000,1558.6557,43642.3589,43.6424
2016,9860100.0000,1512.5393,42351.1015,42.3511
2017,10458562.0000,1604.3434,44921.6155,44.9216
2018,10826007.0000,1660.7095,46499.8653,46.4999
2019,10404870.0000,1596.1071,44690.9976,44.6910
2020,10770400.0000,1652.1794,46261.0221,46.2610
2021,10970949.0000,1682.9436,47122.4201,47.1224
2022,11041540.0000,1693.7722,47425.6226,47.4256
2023,11338932.0000,1739.3922,48702.9807,48.7030
2024,11248558.0000,1725.5288,48314.8063,48.3148
